OutcomeType,AnimalType,SexuponOutcome,Breed,Color,mix_breed,clean_age,weekday,hour,day,month,Sex,neuter_status
Return_to_owner,Dog,Spayed Female,Other,Tan/Black,1,48.0,1,14,16,9,Female,Spayed
Adoption,Dog,Neutered Male,Other,Brown/White,0,24.0,0,12,7,7,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,1,12.0,2,13,19,8,Male,Intact
Euthanasia,Dog,Spayed Female,Yorkshire Terrier Mix,Brown/Black,1,132.0,4,18,9,5,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Black,1,1.0,1,15,6,10,Female,Intact
Adoption,Dog,Spayed Female,Dachshund Mix,Tan/White,1,24.0,2,11,23,9,Female,Spayed
Transfer,Cat,Unknown,Domestic Shorthair Mix,Black,1,0.5,3,17,17,7,Unknown,Unknown
Return_to_owner,Dog,Spayed Female,Other,White,1,72.0,1,18,27,10,Female,Spayed
Transfer,Dog,Neutered Male,Other,Black/White,1,6.0,0,15,8,12,Male,Neutered
Transfer,Dog,Intact Female,Other,Buff,0,2.0,1,15,8,9,Female,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby/White,1,2.0,1,9,16,6,Unknown,Unknown
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,Red,1,12.0,5,18,10,5,Female,Spayed
Adoption,Dog,Neutered Male,Other,Brown,1,2.0,2,17,30,4,Male,Neutered
Transfer,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White,1,24.0,4,14,29,1,Male,Neutered
Adoption,Dog,Spayed Female,Other,White,0,36.0,1,18,25,3,Female,Spayed
Return_to_owner,Cat,Intact Female,Domestic Shorthair Mix,Black,1,12.0,1,11,18,8,Female,Intact
Return_to_owner,Dog,Spayed Female,Yorkshire Terrier Mix,Other,1,48.0,5,16,28,12,Female,Spayed
Transfer,Dog,Spayed Female,Other,Tan,0,24.0,2,14,19,8,Female,Spayed
Adoption,Cat,Spayed Female,Other,Brown Tabby,0,3.0,6,17,22,6,Female,Spayed
Euthanasia,Cat,Intact Female,Domestic Shorthair Mix,Calico,1,12.0,4,17,21,3,Female,Intact
Adoption,Dog,Neutered Male,Other,Black,0,2.0,6,16,7,6,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,1,24.0,6,19,20,12,Female,Spayed
Adoption,Dog,Neutered Male,Other,White,0,12.0,3,12,17,12,Male,Neutered
Euthanasia,Cat,Unknown,Domestic Shorthair Mix,Blue Tabby,1,0.5,1,12,22,9,Unknown,Unknown
Transfer,Cat,Unknown,Siamese Mix,Seal Point,1,1.0,5,18,30,5,Unknown,Unknown
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,1,24.0,0,9,12,10,Male,Intact
Euthanasia,Dog,Neutered Male,Pit Bull Mix,Brown Brindle,1,144.0,0,17,9,2,Male,Neutered
Adoption,Dog,Neutered Male,Other,Brown/White,0,12.0,6,18,14,9,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,2.0,5,15,18,7,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black,1,0.5,1,15,14,7,Male,Intact
Transfer,Dog,Intact Female,Labrador Retriever Mix,Black/White,1,3.0,5,18,26,4,Female,Intact
Adoption,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,1,3.0,0,15,18,11,Female,Spayed
Adoption,Dog,Neutered Male,Other,Brown Brindle/White,1,5.0,1,14,15,12,Male,Neutered
Adoption,Dog,Spayed Female,Other,Black,0,36.0,6,14,7,2,Female,Spayed
Transfer,Dog,Spayed Female,Other,White/Black,0,84.0,3,11,10,4,Female,Spayed
Euthanasia,Dog,Spayed Female,German Shepherd Mix,Black/Tan,1,24.0,4,18,6,2,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Black,1,4.0,0,15,29,12,Female,Spayed
Adoption,Dog,Spayed Female,Other,White/Brown,0,108.0,6,14,15,11,Female,Spayed
Transfer,Dog,Neutered Male,Border Collie Mix,Black/White,1,7.0,6,15,6,12,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,2.0,0,19,14,7,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Black/White,1,36.0,4,9,24,10,Male,Intact
Adoption,Dog,Neutered Male,Other,Other,1,36.0,2,16,14,1,Male,Neutered
Adoption,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,1,60.0,3,17,29,5,Male,Neutered
Transfer,Dog,Neutered Male,Boxer Mix,Brown Brindle/White,1,60.0,3,12,28,1,Male,Neutered
Transfer,Cat,Intact Female,Domestic Medium Hair Mix,Blue,1,0.5,2,11,16,10,Female,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Black,1,0.5,6,14,26,7,Unknown,Unknown
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,1,48.0,3,14,30,1,Female,Spayed
Return_to_owner,Dog,Neutered Male,Cairn Terrier Mix,Tan/White,1,48.0,2,18,8,4,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,2.0,6,18,19,7,Male,Neutered
Return_to_owner,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tan,1,24.0,4,12,20,12,Female,Spayed
Adoption,Dog,Neutered Male,Other,White,1,24.0,6,18,23,3,Male,Neutered
Return_to_owner,Dog,Neutered Male,Dachshund Mix,Black/Brown,1,108.0,5,11,29,3,Male,Neutered
Return_to_owner,Dog,Neutered Male,Beagle Mix,Tricolor,1,60.0,1,18,11,2,Male,Neutered
Euthanasia,Dog,Neutered Male,Other,Other,0,12.0,4,16,6,12,Male,Neutered
Adoption,Dog,Spayed Female,Pit Bull Mix,Fawn/White,1,24.0,6,16,20,10,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,0.75,1,15,6,5,Male,Intact
Transfer,Dog,Intact Male,Pit Bull Mix,White/Brown,1,5.0,0,15,6,7,Male,Intact
Euthanasia,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,72.0,0,16,26,1,Male,Intact
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan,1,12.0,5,15,22,3,Female,Spayed
Transfer,Dog,Intact Male,Chihuahua Shorthair Mix,Black/White,1,3.0,3,0,5,11,Male,Intact
Transfer,Cat,Intact Female,Domestic Longhair Mix,Calico,1,1.0,5,18,24,10,Female,Intact
Return_to_owner,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown,1,36.0,6,16,3,5,Female,Spayed
Return_to_owner,Dog,Neutered Male,Dachshund Mix,Black,1,60.0,0,17,14,4,Male,Neutered
Adoption,Dog,Neutered Male,Other,Black,0,96.0,0,11,26,5,Male,Neutered
Adoption,Dog,Spayed Female,Labrador Retriever Mix,Black/White,1,2.0,6,14,21,9,Female,Spayed
Euthanasia,Cat,Intact Female,Domestic Shorthair Mix,Tortie,1,84.0,4,11,14,11,Female,Intact
Adoption,Cat,Intact Female,Domestic Shorthair Mix,Black,1,2.0,4,18,3,10,Female,Intact
Adoption,Dog,Neutered Male,Other,Black,0,60.0,3,17,11,9,Male,Neutered
Adoption,Dog,Neutered Male,Pit Bull Mix,White/Brown,1,12.0,6,17,31,1,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,3.0,6,9,24,8,Male,Intact
Return_to_owner,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/White,1,24.0,6,18,22,3,Male,Neutered
Return_to_owner,Dog,Spayed Female,Labrador Retriever Mix,Chocolate/White,1,108.0,6,11,25,1,Female,Spayed
Adoption,Dog,Spayed Female,Pit Bull Mix,Red/White,1,36.0,3,17,22,10,Female,Spayed
Return_to_owner,Cat,Spayed Female,Domestic Shorthair Mix,Calico,1,36.0,0,18,26,10,Female,Spayed
Adoption,Dog,Spayed Female,Other,Black/White,0,12.0,4,14,15,1,Female,Spayed
Transfer,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tan,1,24.0,4,15,9,1,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,Brown Brindle,0,12.0,1,17,15,12,Female,Spayed
Transfer,Cat,Neutered Male,Siamese Mix,Other,1,24.0,1,16,10,6,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,Brown,1,24.0,5,15,16,5,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Blue/White,1,24.0,2,9,18,6,Female,Intact
Transfer,Cat,Unknown,Domestic Shorthair Mix,Tortie,1,3.0,1,9,20,10,Unknown,Unknown
Adoption,Dog,Spayed Female,Other,Tricolor,0,1.0,6,18,23,11,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,1,2.0,1,13,5,8,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Medium Hair Mix,Cream Tabby,1,10.0,6,19,16,2,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Medium Hair Mix,Brown Tabby/White,1,24.0,1,16,9,2,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,1,2.0,6,15,28,6,Female,Spayed
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Yellow,1,6.0,6,19,1,11,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,1,2.0,5,19,7,11,Female,Spayed
Adoption,Dog,Spayed Female,Dachshund Mix,Tan,1,12.0,4,18,26,9,Female,Spayed
Transfer,Dog,Intact Female,Dachshund Mix,Brown/White,1,6.0,2,14,22,10,Female,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,1,12.0,6,17,1,6,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Calico,1,0.75,4,18,12,9,Male,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,1,24.0,4,14,19,2,Male,Neutered
Adoption,Dog,Spayed Female,Other,Blue/White,1,11.0,5,13,14,11,Female,Spayed
Transfer,Dog,Neutered Male,Rat Terrier Mix,Tricolor,1,3.0,0,16,3,3,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,Brown,0,24.0,0,12,10,2,Female,Spayed
Transfer,Dog,Neutered Male,Pit Bull Mix,Red,1,24.0,5,12,27,9,Male,Neutered
Adoption,Dog,Neutered Male,Pit Bull Mix,Brown/White,1,24.0,5,11,15,8,Male,Neutered
Adoption,Cat,Spayed Female,Other,Calico,0,4.0,3,18,3,7,Female,Spayed
Transfer,Dog,Intact Female,Other,Red,0,4.0,0,15,11,8,Female,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Torbie,1,5.0,0,9,15,9,Female,Intact
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Other,1,2.0,2,11,16,12,Male,Neutered
Transfer,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/White,1,84.0,2,15,29,7,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,1,48.0,5,16,23,1,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Other,1,0.75,3,11,10,9,Female,Intact
Adoption,Dog,Neutered Male,Border Collie Mix,Black/White,1,6.0,6,17,6,12,Male,Neutered
Adoption,Dog,Intact Female,Labrador Retriever Mix,Black/White,1,5.0,5,17,8,8,Female,Intact
Return_to_owner,Dog,Spayed Female,Other,White,0,96.0,2,11,13,1,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,2.0,6,17,19,7,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby/White,1,1.0,0,18,6,7,Female,Spayed
Return_to_owner,Dog,Spayed Female,Labrador Retriever Mix,White,1,5.0,0,18,15,2,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,1.0,5,13,31,5,Male,Intact
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,1,4.0,3,9,23,10,Male,Intact
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Tan,1,12.0,5,11,1,8,Female,Spayed
Adoption,Dog,Neutered Male,Other,Black/Brown,0,24.0,6,16,10,8,Male,Neutered
Transfer,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,1,132.0,0,15,4,11,Female,Spayed
Adoption,Dog,Neutered Male,Other,Tricolor,0,2.0,3,9,25,6,Male,Neutered
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,White/Black,1,2.0,1,0,1,9,Male,Neutered
Adoption,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1,2.0,3,18,29,10,Female,Intact
Adoption,Dog,Spayed Female,Other,Other,0,1.0,0,14,20,4,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,White/Tan,0,84.0,0,11,25,5,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Other,1,0.0,2,13,21,5,Male,Intact
Return_to_owner,Dog,Neutered Male,Other,Other,0,48.0,0,13,9,11,Male,Neutered
Transfer,Dog,Spayed Female,Australian Cattle Dog Mix,Tan/White,1,24.0,1,0,22,12,Female,Spayed
Return_to_owner,Dog,Spayed Female,Other,White/Black,1,12.0,5,13,14,11,Female,Spayed
Return_to_owner,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White,1,24.0,2,17,9,12,Male,Neutered
Transfer,Cat,Intact Female,Domestic Medium Hair Mix,Brown Tabby,1,1.0,2,18,3,9,Female,Intact
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Black/White,1,12.0,4,11,13,11,Female,Intact
Adoption,Dog,Spayed Female,Other,Other,0,24.0,1,17,12,5,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,1,10.0,3,12,3,10,Male,Intact
Transfer,Dog,Spayed Female,German Shepherd Mix,White,1,48.0,5,12,7,3,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,1,4.0,2,17,16,7,Female,Spayed
Transfer,Dog,Spayed Female,Other,White/Tan,0,72.0,2,11,13,5,Female,Spayed
Adoption,Dog,Spayed Female,Miniature Poodle Mix,Black/White,1,9.0,4,17,15,5,Female,Spayed
Adoption,Dog,Spayed Female,Other,Red,0,36.0,5,14,19,9,Female,Spayed
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,1,8.0,6,12,23,11,Female,Spayed
Adoption,Dog,Spayed Female,Other,Other,0,10.0,3,16,1,5,Female,Spayed
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Other,1,12.0,1,0,1,9,Male,Neutered
Adoption,Dog,Neutered Male,Catahoula Mix,Other,1,12.0,1,16,27,10,Male,Neutered
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Black/White,1,12.0,4,18,3,7,Male,Neutered
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Yellow,1,3.0,3,15,24,7,Male,Neutered
Return_to_owner,Dog,Intact Male,Chihuahua Shorthair Mix,Other,1,72.0,1,18,19,11,Male,Intact
Transfer,Cat,Unknown,Domestic Longhair Mix,Black,1,12.0,1,15,21,1,Unknown,Unknown
Return_to_owner,Dog,Neutered Male,Other,Tan/White,1,24.0,3,10,10,4,Male,Neutered
Adoption,Dog,Spayed Female,Other,Tan/White,1,60.0,5,18,30,11,Female,Spayed
Euthanasia,Cat,Neutered Male,Domestic Longhair Mix,Orange Tabby/White,1,144.0,6,17,10,5,Male,Neutered
Adoption,Dog,Spayed Female,German Shepherd Mix,Sable,1,24.0,1,12,8,4,Female,Spayed
Adoption,Dog,Neutered Male,Labrador Retriever Mix,Black/White,1,72.0,5,18,18,10,Male,Neutered
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,3.0,5,18,27,6,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,Tricolor,1,8.0,5,11,1,2,Female,Spayed
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Black,1,12.0,4,15,27,12,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Black,1,180.0,5,15,31,10,Female,Intact
Transfer,Dog,Intact Female,Other,Chocolate/White,1,0.75,2,17,22,10,Female,Intact
Adoption,Dog,Neutered Male,Other,White/Brown,0,5.0,3,16,13,11,Male,Neutered
Adoption,Dog,Neutered Male,Other,Black/White,0,24.0,2,19,14,5,Male,Neutered
Adoption,Dog,Spayed Female,Other,Brown Brindle/White,1,24.0,1,9,30,12,Female,Spayed
Return_to_owner,Dog,Intact Male,Australian Shepherd Mix,Other,1,24.0,4,14,27,11,Male,Intact
Adoption,Dog,Spayed Female,Labrador Retriever Mix,Tan/White,1,24.0,0,14,11,1,Female,Spayed
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Calico,1,0.75,4,18,12,9,Female,Intact
Transfer,Dog,Spayed Female,Pit Bull Mix,Other,1,12.0,3,13,28,5,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,1,24.0,5,9,21,3,Male,Intact
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,1.0,2,15,30,10,Male,Intact
Transfer,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Brown,1,48.0,1,15,8,4,Male,Neutered
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,1,0.75,1,19,24,6,Male,Intact
Adoption,Cat,Intact Male,Domestic Shorthair Mix,Black,1,2.0,1,8,27,5,Male,Intact
Transfer,Dog,Spayed Female,Rat Terrier Mix,White/Black,1,12.0,1,15,2,2,Female,Spayed
Adoption,Dog,Spayed Female,Other,Brown/White,1,2.0,4,16,30,5,Female,Spayed
Adoption,Dog,Spayed Female,Other,Black/White,0,12.0,0,17,4,11,Female,Spayed
Adoption,Dog,Spayed Female,Cairn Terrier Mix,Buff,1,36.0,1,17,15,7,Female,Spayed
Euthanasia,Dog,Neutered Male,Other,Black,0,108.0,0,18,20,1,Male,Neutered
Return_to_owner,Cat,Spayed Female,Domestic Shorthair Mix,White/Black,1,24.0,0,15,7,9,Female,Spayed
Transfer,Dog,Spayed Female,Other,Black/White,0,60.0,0,14,2,12,Female,Spayed
Return_to_owner,Dog,Intact Male,Chihuahua Shorthair Mix,Black/White,1,24.0,6,18,29,11,Male,Intact
Return_to_owner,Dog,Neutered Male,Other,Brown,0,24.0,4,11,1,5,Male,Neutered
Return_to_owner,Dog,Neutered Male,Other,Brown/Black,0,84.0,1,16,3,11,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,1,12.0,0,9,28,7,Female,Intact
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,1,72.0,5,15,21,11,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,1,2.0,5,20,12,7,Male,Neutered
Return_to_owner,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan/Black,1,12.0,6,18,10,5,Female,Spayed
Adoption,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,1,2.0,3,17,14,11,Male,Neutered
Return_to_owner,Dog,Spayed Female,Other,Brown Brindle,1,72.0,5,14,8,11,Female,Spayed
Transfer,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,1,2.0,1,16,26,5,Male,Intact
Adoption,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown/Black,1,24.0,2,15,24,6,Female,Spayed
Adoption,Cat,Neutered Male,Siamese Mix,Other,1,84.0,1,18,19,8,Male,Neutered
Adoption,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,1,3.0,6,12,6,12,Female,Spayed
Adoption,Dog,Neutered Male,Other,Red,1,36.0,3,18,19,11,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Black,1,24.0,1,15,22,4,Female,Intact
Adoption,Dog,Spayed Female,Other,Other,0,84.0,6,17,1,12,Female,Spayed
Euthanasia,Cat,Intact Male,Domestic Shorthair Mix,Other,1,1.0,6,17,24,5,Male,Intact
Return_to_owner,Dog,Spayed Female,Pit Bull Mix,Brown/White,1,24.0,5,19,9,11,Female,Spayed
Return_to_owner,Dog,Intact Female,Boxer Mix,Black/White,1,5.0,2,0,5,8,Female,Intact
Transfer,Dog,Neutered Male,Other,Black/White,0,48.0,1,11,2,6,Male,Neutered
Return_to_owner,Dog,Neutered Male,Labrador Retriever Mix,Buff,1,24.0,3,17,6,3,Male,Neutered
Transfer,Dog,Spayed Female,Other,Tricolor,1,84.0,6,0,7,2,Female,Spayed
Adoption,Dog,Neutered Male,Other,Brown,0,12.0,6,12,6,7,Male,Neutered
Transfer,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,1,1.0,2,12,11,12,Male,Neutered
Adoption,Dog,Neutered Male,Other,Black/Brown,0,1.0,5,13,31,1,Male,Neutered
Adoption,Cat,Neutered Male,Other,White/Black,1,2.0,6,14,20,9,Male,Neutered
Transfer,Cat,Intact Female,Domestic Shorthair Mix,Blue,1,36.0,1,9,6,10,Female,Intact
Transfer,Dog,Spayed Female,Other,Tan/White,0,48.0,2,13,16,7,Female,Spayed
Adoption,Dog,Spayed Female,Pit Bull Mix,Black/White,1,12.0,5,12,19,10,Female,Spayed
Adoption,Dog,Spayed Female,Other,Black/White,1,24.0,6,18,2,8,Female,Spayed
Transfer,Dog,Spayed Female,Other,Buff,0,120.0,3,15,28,5,Female,Spayed
